"","pID","condition","e0","e10","e20","e30","e40","e50","e60","e70","e80","e90","e100","age","gender","botCheck","actuallyEstimated","gamma","delta","value"
"67","192","uniform",0.0801801801801802,0.131171171171171,0.0418918918918919,0.0668468468468468,0.0510810810810811,0.0759459459459459,0.176936936936937,0.1,0.082972972972973,0.105675675675676,0.0872972972972973,28,"male",1,1,0.0186735477679816,1e-07,0.0310959660465287
"68","195","uniform",0.0276501846347834,0.0276501846347834,0.0276501846347834,0.0276501846347834,0.0276501846347834,0.0276501846347834,0.0289111051067279,0.0276501846347834,0.722237233180222,0.0276501846347834,0.0276501846347834,22,"male",1,1,12.5570198796417,11.5121375810213,0.0224385134066522
"69","196","uniform",0.0119787444834729,0.0101774295235522,0.0685400342249842,0.0685400342249842,0.0685400342249842,0.0685400342249842,0.0685400342249842,0.0685400342249842,0.456002882103936,0.0420607043141493,0.0685400342249842,25,"male",1,1,5.68330084775152,5.50976352534435,0.0805234238644657
"70","197","uniform",0.0100891811548509,0.112602468246104,0.107918205567066,0.113503287992073,0.0992703360057652,0.122871813350149,0.114674353661832,0.106476893973516,0.100981893523106,0.0958472209710837,0.0157643455544546,23,"male",1,1,0.0129675482213816,0.107380065684158,0.000784266218439151
"71","20","uniform",0.0138751238850347,0.0138751238850347,0.0138751238850347,0.0138751238850347,0.0138751238850347,0.123704838273718,0.166591584827462,0.375889719794576,0.20082890350482,0.0497342102892152,0.0138751238850347,25,"female",1,1,2.4817070539981,4.09726622627204,0.0102753824202427
"72","200","uniform",0.0116216216216216,0.0337837837837838,0.0866666666666667,0.117207207207207,0.146576576576577,0.150630630630631,0.135405405405405,0.131711711711712,0.114684684684685,0.0379279279279279,0.0337837837837838,26,"male",1,1,0.29860296854326,1.08152451506539,0.00221078168577451
"73","202","uniform",0.0166666666666667,0.0446846846846847,0.0603603603603604,0.0685585585585586,0.0796396396396396,0.0914414414414414,0.117927927927928,0.15972972972973,0.185765765765766,0.157657657657658,0.0175675675675676,20,"male",1,1,0.195379072231098,0.00996884448172269,0.00287396062631794
"74","203","uniform",0.00900900900900901,0.0145945945945946,0.0645945945945946,0.018018018018018,0.0271171171171171,0.0878378378378378,0.123603603603604,0.175135135135135,0.373153153153153,0.0979279279279279,0.00900900900900901,23,"male",1,1,2.07222303218109,2.35561149390374,0.0249981303280263
"75","204","uniform",0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.154954954954955,0.591891891891892,0.181081081081081,0.00900900900900901,20,"male",1,1,7.31080642528865,6.57521102006436,0.00174193036330094
"76","205","uniform",0.0571171171171171,0.0604504504504505,0.0855855855855856,0.0909009009009009,0.11009009009009,0.12963963963964,0.152072072072072,0.125675675675676,0.104954954954955,0.0454054054054054,0.0381081081081081,36,"male",1,1,0.21644401924607,0.739887094176803,0.00724673494482215
"77","206","uniform",0.0108989371284453,0.0118897495946676,0.114123581336696,0.217798594847775,0.0116195280129706,0.0875517924698253,0.454152404972077,0.0229688344442443,0.0457575211673572,0.0116195280129706,0.0116195280129706,27,"male",1,1,0.513716079734308,1.99077331291728,0.137259730655691
