"","pID","condition","e0","e10","e20","e30","e40","e50","e60","e70","e80","e90","e100","age","gender","botCheck","actuallyEstimated"
"105","188","uniform",0.0052,0.0027,0.0011,0.001,0.1445,0.183,0.0026,0.3801,2e-04,0.1843,0.0954,25,"male",1,1
"106","189","uniform",0.0203,0.0203,0.0203,0.0203,0.0203,0.023,0.0203,0.0203,0.794,0.0203,0.0203,25,"male",1,1
"107","190","uniform",0,0,0,0,0,0,0.0922,0.3482,0.5596,0,0,23,"male",1,1
"108","192","uniform",0.079,0.1356,0.0365,0.0642,0.0467,0.0743,0.1864,0.101,0.0821,0.1073,0.0869,28,"male",1,1
"109","195","uniform",0.0207,0.0207,0.0207,0.0207,0.0207,0.0207,0.0221,0.0207,0.7919,0.0207,0.0207,22,"male",1,1
"110","196","uniform",0.0033,0.0013,0.0661,0.0661,0.0661,0.0661,0.0661,0.0661,0.4963,0.0367,0.0661,25,"male",1,1
"111","197","uniform",0.0012,0.115,0.1098,0.116,0.1002,0.1264,0.1173,0.1082,0.1021,0.0964,0.0075,23,"male",1,1
"112","200","uniform",0.0029,0.0275,0.0862,0.1201,0.1527,0.1572,0.1403,0.1362,0.1173,0.0321,0.0275,26,"male",1,1
"113","202","uniform",0.0085,0.0396,0.057,0.0661,0.0784,0.0915,0.1209,0.1673,0.1962,0.165,0.0095,20,"male",1,1
"114","203","uniform",0,0.0062,0.0617,0.01,0.0201,0.0875,0.1272,0.1844,0.4042,0.0987,0,23,"male",1,1
"115","204","uniform",0,0,0,0,0,0,0,0.162,0.647,0.191,0,20,"male",1,1
"116","205","uniform",0.0534,0.0571,0.085,0.0909,0.1122,0.1339,0.1588,0.1295,0.1065,0.0404,0.0323,36,"male",1,1
"117","206","uniform",0.0021,0.0032,0.1167,0.2318,0.0029,0.0872,0.4942,0.0155,0.0408,0.0029,0.0029,27,"male",1,1
"118","207","uniform",0,0.0117,0,0.045,0.1049,0.154,0.3275,0.2058,0.1511,0,0,25,"male",1,1
