"","pID","beta","gamma","value","seenRed","seenBlue","x","prior","genpost","infbeta","infgamma","infvalue"
"805",378,1e-07,0.369659213481282,0.0128296069569882,13,3,0.1,0.0104495090532384,6.66875130765006e-05,1e-07,0.369660277863738,2.09630842889612e-13
"806",378,1e-07,0.369659213481282,0.0128296069569882,13,3,0.2,0.0140527880371138,0.00163658350111797,1e-07,0.369660277863738,2.09630842889612e-13
"807",378,1e-07,0.369659213481282,0.0128296069569882,13,3,0.3,0.0110800828754166,0.00990478896803891,1e-07,0.369660277863738,2.09630842889612e-13
"808",378,1e-07,0.369659213481282,0.0128296069569882,13,3,0.4,0.0120709845959823,0.033266303923414,1e-07,0.369660277863738,2.09630842889612e-13
"809",378,1e-07,0.369659213481282,0.0128296069569882,13,3,0.5,0.0720655796775065,0.0794149336944269,1e-07,0.369660277863738,2.09630842889612e-13
"810",378,1e-07,0.369659213481282,0.0128296069569882,13,3,0.6,0.117827222772723,0.148916275167971,1e-07,0.369660277863738,2.09630842889612e-13
"811",378,1e-07,0.369659213481282,0.0128296069569882,13,3,0.7,0.182596162507882,0.227041579325536,1e-07,0.369660277863738,2.09630842889612e-13
"812",378,1e-07,0.369659213481282,0.0128296069569882,13,3,0.8,0.280515268894694,0.275111360460372,1e-07,0.369660277863738,2.09630842889612e-13
"813",378,1e-07,0.369659213481282,0.0128296069569882,13,3,0.9,0.196919196468787,0.224641487446048,1e-07,0.369660277863738,2.09630842889612e-13
"814",378,1e-07,0.369659213481282,0.0128296069569882,13,3,1,0.0904423024952707,0,1e-07,0.369660277863738,2.09630842889612e-13
"815",379,0.39058229870446,0.140442790399678,0.00473388486854734,47,11,0,0.00900900900900901,0,0.390606985445948,0.140441142932254,5.95263708143902e-12
"816",379,0.39058229870446,0.140442790399678,0.00473388486854734,47,11,0.1,0.00900900900900901,1.52061548272621e-06,0.390606985445948,0.140441142932254,5.95263708143902e-12
"817",379,0.39058229870446,0.140442790399678,0.00473388486854734,47,11,0.2,0.00927927927927928,0.00012325794430182,0.390606985445948,0.140441142932254,5.95263708143902e-12
"818",379,0.39058229870446,0.140442790399678,0.00473388486854734,47,11,0.3,0.0161261261261261,0.00152339894153577,0.390606985445948,0.140441142932254,5.95263708143902e-12
"819",379,0.39058229870446,0.140442790399678,0.00473388486854734,47,11,0.4,0.0307207207207207,0.00875918414810649,0.390606985445948,0.140441142932254,5.95263708143902e-12
"820",379,0.39058229870446,0.140442790399678,0.00473388486854734,47,11,0.5,0.0573873873873874,0.0332835343256251,0.390606985445948,0.140441142932254,5.95263708143902e-12
"821",379,0.39058229870446,0.140442790399678,0.00473388486854734,47,11,0.6,0.15036036036036,0.115214102919276,0.390606985445948,0.140441142932254,5.95263708143902e-12
"822",379,0.39058229870446,0.140442790399678,0.00473388486854734,47,11,0.7,0.259459459459459,0.280660263085563,0.390606985445948,0.140441142932254,5.95263708143902e-12
"823",379,0.39058229870446,0.140442790399678,0.00473388486854734,47,11,0.8,0.262342342342342,0.364792017304724,0.390606985445948,0.140441142932254,5.95263708143902e-12
