"","n","a","b","gamma","beta","subn","id","x","prior","posterior","infbeta","infgamma","value"
"243",1,0.01,0.01,0.5,0.1,23,23,0,0.438898261735246,0,0.100001257997259,0.500001186297071,9.60681027394582e-14
"244",1,0.01,0.01,0.5,0.1,23,23,0.1,0.0238484786402278,0.00658405889750005,0.100001257997259,0.500001186297071,9.60681027394582e-14
"245",1,0.01,0.01,0.5,0.1,23,23,0.2,0.0135112329154958,0.0245252132442456,0.100001257997259,0.500001186297071,9.60681027394582e-14
"246",1,0.01,0.01,0.5,0.1,23,23,0.3,0.0103326622570888,0.051420508509604,0.100001257997259,0.500001186297071,9.60681027394582e-14
"247",1,0.01,0.01,0.5,0.1,23,23,0.4,0.00905859458800361,0.0845029917412259,0.100001257997259,0.500001186297071,9.60681027394582e-14
"248",1,0.01,0.01,0.5,0.1,23,23,0.5,0.00870153972787574,0.120479733055971,0.100001257997259,0.500001186297071,9.60681027394582e-14
"249",1,0.01,0.01,0.5,0.1,23,23,0.6,0.00905859458800361,0.155241908628468,0.100001257997259,0.500001186297071,9.60681027394582e-14
"250",1,0.01,0.01,0.5,0.1,23,23,0.7,0.0103326622570888,0.183274289736519,0.100001257997259,0.500001186297071,9.60681027394582e-14
"251",1,0.01,0.01,0.5,0.1,23,23,0.8,0.0135112329154958,0.196201705953965,0.100001257997259,0.500001186297071,9.60681027394582e-14
"252",1,0.01,0.01,0.5,0.1,23,23,0.9,0.0238484786402279,0.177769590232501,0.100001257997259,0.500001186297071,9.60681027394582e-14
"253",1,0.01,0.01,0.5,0.1,23,23,1,0.438898261735246,0,0.100001257997259,0.500001186297071,9.60681027394582e-14
"254",1,0.01,0.01,1,0.1,24,24,0,0.438898261735246,0,0.0999944891701928,1.00000178078009,7.93088408119336e-14
"255",1,0.01,0.01,1,0.1,24,24,0.1,0.0238484786402278,0.000280339850936532,0.0999944891701928,1.00000178078009,7.93088408119336e-14
"256",1,0.01,0.01,1,0.1,24,24,0.2,0.0135112329154958,0.00393810828115768,0.0999944891701928,1.00000178078009,7.93088408119336e-14
"257",1,0.01,0.01,1,0.1,24,24,0.3,0.0103326622570888,0.0173779191672334,0.0999944891701928,1.00000178078009,7.93088408119336e-14
"258",1,0.01,0.01,1,0.1,24,24,0.4,0.00905859458800361,0.0470042977861449,0.0999944891701928,1.00000178078009,7.93088408119336e-14
"259",1,0.01,0.01,1,0.1,24,24,0.5,0.00870153972787574,0.0955892124720186,0.0999944891701928,1.00000178078009,7.93088408119336e-14
"260",1,0.01,0.01,1,0.1,24,24,0.6,0.00905859458800361,0.158639505028239,0.0999944891701928,1.00000178078009,7.93088408119336e-14
"261",1,0.01,0.01,1,0.1,24,24,0.7,0.0103326622570888,0.220763936087447,0.0999944891701928,1.00000178078009,7.93088408119336e-14
"262",1,0.01,0.01,1,0.1,24,24,0.8,0.0135112329154958,0.252038929994091,0.0999944891701928,1.00000178078009,7.93088408119336e-14
"263",1,0.01,0.01,1,0.1,24,24,0.9,0.0238484786402279,0.204367751332732,0.0999944891701928,1.00000178078009,7.93088408119336e-14
"264",1,0.01,0.01,1,0.1,24,24,1,0.438898261735246,0,0.0999944891701928,1.00000178078009,7.93088408119336e-14
"265",1,0.01,0.01,5,0.1,25,25,0,0.438898261735246,0,0.100001478845104,4.99999906676585,5.77162442543224e-15
"266",1,0.01,0.01,5,0.1,25,25,0.1,0.0238484786402278,8.24064665991591e-16,0.100001478845104,4.99999906676585,5.77162442543224e-15
"267",1,0.01,0.01,5,0.1,25,25,0.2,0.0135112329154958,4.73624270050181e-10,0.100001478845104,4.99999906676585,5.77162442543224e-15
"268",1,0.01,0.01,5,0.1,25,25,0.3,0.0103326622570888,8.0470449174975e-07,0.100001478845104,4.99999906676585,5.77162442543224e-15
"269",1,0.01,0.01,5,0.1,25,25,0.4,0.00905859458800361,0.000117221924972546,0.100001478845104,4.99999906676585,5.77162442543224e-15
"270",1,0.01,0.01,5,0.1,25,25,0.5,0.00870153972787574,0.00408427886916619,0.100001478845104,4.99999906676585,5.77162442543224e-15
"271",1,0.01,0.01,5,0.1,25,25,0.6,0.00905859458800361,0.0513307647641614,0.100001478845104,4.99999906676585,5.77162442543224e-15
"272",1,0.01,0.01,5,0.1,25,25,0.7,0.0103326622570888,0.266249134649026,0.100001478845104,4.99999906676585,5.77162442543224e-15
"273",1,0.01,0.01,5,0.1,25,25,0.8,0.0135112329154958,0.508550187614349,0.100001478845104,4.99999906676585,5.77162442543224e-15
"274",1,0.01,0.01,5,0.1,25,25,0.9,0.0238484786402279,0.169667607000207,0.100001478845104,4.99999906676585,5.77162442543224e-15
"275",1,0.01,0.01,5,0.1,25,25,1,0.438898261735246,0,0.100001478845104,4.99999906676585,5.77162442543224e-15
"276",1,0.01,0.01,10,0.1,26,26,0,0.438898261735246,0,0.10000926969502,9.99999925726385,1.74330093310996e-14
"277",1,0.01,0.01,10,0.1,26,26,0.1,0.0238484786402278,1.85862199724455e-30,0.10000926969502,9.99999925726385,1.74330093310996e-14
"278",1,0.01,0.01,10,0.1,26,26,0.2,0.0135112329154958,6.21585721701683e-19,0.10000926969502,9.99999925726385,1.74330093310996e-14
"279",1,0.01,0.01,10,0.1,26,26,0.3,0.0103326622570888,1.80122909155242e-12,0.10000926969502,9.99999925726385,1.74330093310996e-14
