"","pID","condition","e0","e10","e20","e30","e40","e50","e60","e70","e80","e90","e100","age","gender","botCheck","actuallyEstimated"
"95","119","uniform",0.0021,0.0023,0.0015,0.0028,0.0024,0.0124,0.0546,0.1116,0.7013,0.0968,0.0124,27,"male",1,1
"96","120","uniform",0.0858,0.1236,0.0677,0.0976,0.1188,0.0911,0.1307,0.0539,0.1057,0.052,0.073,42,"male",1,1
"97","121","uniform",0,0.0127,0,0,0,0.1697,0.1671,0.1639,0.3666,0.1201,0,21,"male",1,1
"98","123","uniform",0.0178,0.0276,0.0413,0.06,0.0833,0.1065,0.1147,0.1561,0.2258,0.1569,0.01,26,"male",1,1
"99","124","uniform",0.0018,0.0135,0.0135,0.0135,0.0135,0.039,0.0926,0.2422,0.3133,0.2567,4e-04,28,"male",1,1
"100","125","uniform",0,0.01,0.02,0.0267,0.0348,0.0937,0.1574,0.2063,0.2462,0.205,0,24,"male",1,1
"101","127","uniform",0,0,0,0,0,0,0.03,0.2229,0.7471,0,0,19,"male",1,1
"102","130","uniform",0,0,0,0,0,0,0.097,0.2621,0.3302,0.187,0.1237,21,"male",1,1
"103","131","uniform",0.0834,0.0814,0.0337,0.0834,0.0337,0.0695,0.0337,0.0359,0.4941,0.0359,0.0153,28,"male",1,1
"104","133","uniform",4e-04,0.0026,0.0018,0.0011,6e-04,0.0768,0.2667,0.33,0.2453,0.0739,7e-04,23,"male",1,1
"105","134","uniform",0.0738,0.176,0.0984,0.1116,0.0605,0.0302,0.0397,0.0586,0.2094,0.0965,0.0453,30,"male",1,1
"106","135","uniform",0.0945,0.0884,0.0494,0.0144,0.0144,0.0691,0.0906,0.4955,0.0144,0.0277,0.0416,60,"male",1,1
"107","136","uniform",8e-04,0.0216,0.0339,0.0453,0.0653,0.0685,0.1214,0.1941,0.2586,0.1891,0.0013,19,"male",1,1
"108","137","uniform",0.103,0.1185,0.1357,0.0704,0.1328,0.0435,0.0788,0.0687,0.095,0.0852,0.0687,44,"male",1,1
"109","139","uniform",0.0666,0.0666,0.0669,0.0658,0.0737,0.1119,0.1162,0.1289,0.1625,0.1257,0.0153,21,"male",1,1
"110","140","uniform",0.0034,0.0034,0.0034,0.0596,0.1613,0.2674,0.3869,0.0744,0.0336,0.0034,0.0034,23,"male",1,1
"111","141","uniform",0.0781,0.0349,0.0194,0.1563,0.1728,0.1483,0.1656,0.0871,0.072,0.065,6e-04,53,"male",1,1
"112","142","uniform",0,0,0,0,0,0,0.07,0.2053,0.3239,0.4008,0,20,"male",1,1
"113","143","uniform",0,0.0333,0.0767,0.14,0.4687,0.1567,0.1246,0,0,0,0,40,"male",1,1
"114","144","uniform",0.0069,0.0218,0.0338,0.0864,0.1771,0.3409,0.1719,0.1025,0.0343,0.0178,0.0066,18,"male",1,1
"115","145","uniform",0.0907,0.0918,0.0907,0.0907,0.0907,0.0922,0.0907,0.0907,0.0907,0.0907,0.0907,18,"male",1,1
"116","146","uniform",0,0.0033,0.0446,0.0522,0.0562,0.0715,0.1334,0.4801,0.106,0.0527,0,24,"male",1,1
"117","148","uniform",0.0119,0.0119,0.0119,0.0119,0.0152,0.0967,0.7933,0.0119,0.0119,0.0119,0.0119,20,"male",1,1
"118","149","uniform",0.0604,0.0107,0.022,0.0017,0.0123,0.0017,0.0812,0.6971,0.0412,0.0017,0.07,35,"male",1,1
"119","150","uniform",0.014,0.014,0.0172,0.014,0.014,0.014,0.014,0.1937,0.4935,0.1977,0.014,18,"male",1,1
"120","151","uniform",0.0131,0.0214,0.0235,0.0017,0.0759,0.0256,0.0017,0.0017,0.7871,0.0017,0.0466,44,"male",1,1
"121","152","uniform",0,0.0891,0.0184,0.0013,0.1107,0.0891,0,0.614,0.0077,0,0.0698,23,"male",1,1
"122","153","uniform",0,0.0079,0,0,0,0.0133,0.0509,0.1976,0.4576,0.1893,0.0834,26,"male",1,1
"123","154","uniform",0.006,0.0206,0.0486,0.0576,0.0937,0.1154,0.1691,0.2273,0.147,0.107,0.0077,18,"male",1,1
"124","155","uniform",0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.1577,0.6338,0.0363,0.0297,0.0056,21,"male",1,1
"125","156","uniform",0.0913,0.0906,0.0896,0.0912,0.0931,0.0916,0.0878,0.0904,0.0936,0.0897,0.0913,25,"male",1,1
"126","157","uniform",3e-04,3e-04,3e-04,3e-04,0.0409,0.0897,0.1886,0.2901,0.3887,3e-04,3e-04,27,"male",1,1
"127","158","uniform",7e-04,0.0018,0.001,0.0031,0.0016,0.0028,0.0585,0.5882,0.3146,0.0267,0.0012,21,"male",1,1
"128","159","uniform",0,0,0,0,0.044,0.0909,0.0537,0.2558,0.4961,0.0594,0,18,"male",1,1
"129","161","uniform",9e-04,9e-04,9e-04,9e-04,0.0238,0.0488,0.1875,0.2262,0.1983,0.3109,9e-04,27,"male",1,1
"130","162","uniform",0.0473,0.1884,0.0473,0.0473,0.0473,0.0458,0.0473,0.0473,0.3872,0.0473,0.0473,34,"male",1,1
"131","163","uniform",0.003,0.0537,0.0575,0.0559,0.0553,0.494,0.0568,0.0563,0.0551,0.0559,0.0565,35,"male",1,1
"132","164","uniform",7e-04,7e-04,0.1933,7e-04,7e-04,7e-04,7e-04,7e-04,0.794,0.0068,7e-04,21,"male",1,1
"133","165","uniform",0,0.002,0.0185,0.0023,0,0,0.3027,0.3906,0.2707,0.0126,6e-04,29,"male",1,1
"134","166","uniform",0.0014,0.0045,0,0.0161,0.0227,0.0681,0.109,0.2046,0.5463,0.0262,0.0012,28,"male",1,1
"135","168","uniform",0,0.1172,0.1144,0.1105,0.1382,0.1075,0.122,0.0969,0.096,0.0973,0,23,"male",1,1
"136","171","uniform",0,0.01,0.01,0.0167,0.03,0.0633,0.102,0.0943,0.1474,0.2284,0.2979,19,"male",1,1
"137","173","uniform",0,0,0,0,0.0032,0.0248,0.0533,0.2225,0.4756,0.2206,0,24,"male",1,1
"138","174","uniform",0,0,0,0,0.0067,0.0133,0.0556,0.2859,0.6385,0,0,23,"male",1,1
"139","175","uniform",0.0013,0.2163,0.2541,0.2333,0.2512,0.0376,0.0013,0.0013,0.0013,0.0013,0.0013,30,"male",1,1
"140","177","uniform",0,4e-04,0,0,0,0,0,0,0.9996,0,0,30,"male",1,1
"141","178","uniform",0.0023,0.0023,0.0943,0.0023,0.0023,0.6914,0.1956,0.0023,0.0023,0.0023,0.0023,24,"male",1,1
"142","179","uniform",0,0,0,0,0,0,0,0.2513,0.7487,0,0,33,"male",1,1
"143","180","uniform",0,0,0,0,0,0,0,0,0.9984,0.0016,0,37,"male",1,1
"144","181","uniform",0.0334,0.0334,0.0334,0.0334,0.0334,0.0334,0.2184,0.3884,0.126,0.0334,0.0334,35,"male",1,1
"145","183","uniform",0,0,0,0,0,0.0324,0.0988,0.2773,0.5916,0,0,19,"male",1,1
"146","184","uniform",3e-04,3e-04,3e-04,3e-04,3e-04,0.0217,0.0585,0.1683,0.488,0.2615,3e-04,30,"male",1,1
"147","185","uniform",4e-04,4e-04,4e-04,4e-04,4e-04,4e-04,4e-04,5e-04,0.9962,4e-04,4e-04,26,"male",1,1
"148","188","uniform",0.0052,0.0027,0.0011,0.001,0.1445,0.183,0.0026,0.3801,2e-04,0.1843,0.0954,25,"male",1,1
"149","189","uniform",0.0203,0.0203,0.0203,0.0203,0.0203,0.023,0.0203,0.0203,0.794,0.0203,0.0203,25,"male",1,1
"150","190","uniform",0,0,0,0,0,0,0.0922,0.3482,0.5596,0,0,23,"male",1,1
"151","192","uniform",0.079,0.1356,0.0365,0.0642,0.0467,0.0743,0.1864,0.101,0.0821,0.1073,0.0869,28,"male",1,1
"152","195","uniform",0.0207,0.0207,0.0207,0.0207,0.0207,0.0207,0.0221,0.0207,0.7919,0.0207,0.0207,22,"male",1,1
"153","196","uniform",0.0033,0.0013,0.0661,0.0661,0.0661,0.0661,0.0661,0.0661,0.4963,0.0367,0.0661,25,"male",1,1
"154","197","uniform",0.0012,0.115,0.1098,0.116,0.1002,0.1264,0.1173,0.1082,0.1021,0.0964,0.0075,23,"male",1,1
"155","200","uniform",0.0029,0.0275,0.0862,0.1201,0.1527,0.1572,0.1403,0.1362,0.1173,0.0321,0.0275,26,"male",1,1
"156","202","uniform",0.0085,0.0396,0.057,0.0661,0.0784,0.0915,0.1209,0.1673,0.1962,0.165,0.0095,20,"male",1,1
"157","203","uniform",0,0.0062,0.0617,0.01,0.0201,0.0875,0.1272,0.1844,0.4042,0.0987,0,23,"male",1,1
"158","204","uniform",0,0,0,0,0,0,0,0.162,0.647,0.191,0,20,"male",1,1
"159","205","uniform",0.0534,0.0571,0.085,0.0909,0.1122,0.1339,0.1588,0.1295,0.1065,0.0404,0.0323,36,"male",1,1
"160","206","uniform",0.0021,0.0032,0.1167,0.2318,0.0029,0.0872,0.4942,0.0155,0.0408,0.0029,0.0029,27,"male",1,1
"161","207","uniform",0,0.0117,0,0.045,0.1049,0.154,0.3275,0.2058,0.1511,0,0,25,"male",1,1
"162","208","peaked",0.0127,0.0147,0.0127,0.0127,0.0127,0.0127,0.0127,0.0275,0.7809,0.0882,0.0127,60,"male",1,1
"163","209","peaked",0.0031,0.0074,0.0184,0.0239,0.0246,0.0494,0.0852,0.1755,0.544,0.0656,0.003,23,"male",1,1
"164","210","peaked",7e-04,7e-04,7e-04,7e-04,7e-04,7e-04,7e-04,7e-04,0.7979,0.1961,7e-04,18,"male",1,1
"165","211","peaked",0.01,0.01,0.01,0.01,0.0124,0.01,0.0109,0.01,0.8967,0.01,0.01,28,"male",1,1
"166","212","peaked",0,0,0,0,0,0,0.3832,0.4935,0.1233,0,0,18,"male",1,1
"167","213","peaked",0.0074,0.0074,0.0074,0.0074,0.0074,0.0658,0.137,0.1939,0.465,0.0977,0.0033,28,"male",1,1
"168","214","peaked",0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.7984,0.1849,0.0019,19,"male",1,1
"169","215","peaked",0.003,0.0021,0.0032,0.0036,0.0014,0.0369,0.294,0.3943,0.1933,0.0669,0.0014,22,"male",1,1
"170","216","peaked",0.0144,0.0144,0.0144,0.0144,0.0032,0.028,0.3507,0.3323,0.1992,0.0144,0.0144,23,"male",1,1
"171","217","peaked",4e-04,0.0025,0.0025,0.0033,0.014,0.0436,0.0905,0.1453,0.5923,0.105,8e-04,21,"male",1,1
"172","218","peaked",0.0049,0.0044,0.001,0.0019,0.0033,0.0255,0.0555,0.0527,0.7966,0.0536,6e-04,18,"male",1,1
"173","219","peaked",0,0,0,0.1901,0,0,0.4303,0.3687,0.011,0,0,28,"male",1,1
"174","220","peaked",0,0,0,0,0,0,0.1017,0.191,0.6086,0.0987,0,19,"male",1,1
"175","221","peaked",0,0,0,0,0,0.0583,0.0645,0.1885,0.4949,0.1938,0,18,"male",1,1
"176","222","peaked",0.0035,0.0035,0.0035,0.2699,0.0035,0.0035,0.0035,0.6985,0.0035,0.0035,0.0035,18,"male",1,1
"177","223","peaked",0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0521,0.1152,0.7012,0.1233,0,18,"male",1,1
"178","224","peaked",0.003,0.003,0.001,8e-04,5e-04,0.0028,7e-04,0.2014,0.5746,0.205,0.0073,35,"male",1,1
"179","225","peaked",0.001,0.0032,0.0025,0,0.0011,0.0467,0.06,0.0637,0.6971,0.117,0.0078,23,"male",1,1
"180","226","peaked",0,0,0,0,0,0.0864,0.1241,0.1601,0.5727,0.0567,0,29,"male",1,1
